2001: A Space Odyssey,Adventure,1968
Ad Astra,Adventure,2014
Aliens,Sci-Fi,1986
Arrival,Sci-Fi,2016
Avatar,Sci-Fi,2009
Avatar: The Way of Water,Action,2022
Avengers Endgame,Action,2019
Avengers Infinity War,Action,2018
Batman ,Action,2022
Batman Begins,Action,2005
Batman Vs Superman,Action,2016
Beauty and the Beast,Fantasy,1991
Black Panther,Action,2018
Blade Runner,Sci-Fi,1982
Blade Runner 2049,Sci-Fi,2017
Children of Men,Sci-Fi,2006
Coco,Adventure,2017
Contact,Sci-Fi,1997
District 9,Sci-Fi,2009
Dune,Adventure,2021
Dune: Part Two,Adventure,2024
Dunkirk,Action,2017
Eternal Sunshine of the Spotless Mind,Sci-Fi,2004
Ex Machina,Sci-Fi,2014
Finding Nemo,Adventure,2003
Frozen,Fantasy,2013
Godzilla x Kong The New Empire,Action,2024
Gravity,Sci-Fi,2013
Inception ,Sci-Fi,2010
Insomnia,Thriller,2002
Interstellar ,Sci-Fi,2014
Iron man,Action,2008
Justice League,Action,2020
Life of Pi,Biography,2012
Logan,Action,2019
Looper,Sci-Fi,2012
Major,Action,2022
Memento,Thriller,2000
Minority Report,Sci-Fi,2002
Moon,Sci-Fi,2009
My Neighbor Totoro,Fantasy,1988
Oppenheimer,Biography,2023
Princess Mononoke,Adventure,1997
Shrek,Comedy,2001
Spider-Man: Into the Spider-Verse,Action,2018
Spider-Man: No Way Home,Sci-Fi,2021
Spirited Away,Adventure,2001
Star Wars: Episode IV - A New Hope,Sci-Fi,1977
The Dark Knight,Action,2008
The Dark Knight Rises,Action,2012
The Incredibles,Action,2004
The Lion King,Adventure,1994
The Matrix,Sci-Fi,1999
The Prestige,Sci-Fi,2006
The Prestige ,Sci-Fi,2006
The Terminator,Sci-Fi,1984
Toy Story,Comedy,1995
Up,Comedy,2009
Wall-E,Sci-Fi,2008
Zootopia,Adventure,2016
